Name,Description,Effect,Effect Value (%),Category,Graphic ID
Clicking Novice,Click 500 times,All Champion Damage Boost,1,"Clicks, Kills & Gold",830
Clicking Expert,Click 2500 times,All Champion Damage Boost,1,"Clicks, Kills & Gold",830
Not So Idle,Click 10000 times,All Champion Damage Boost,1,"Clicks, Kills & Gold",830
Total Stunner,Click 25000 times,All Champion Damage Boost,1,"Clicks, Kills & Gold",830
Stunlock Master,Click 50000 times,All Champion Damage Boost,5,"Clicks, Kills & Gold",830
Golden,Earn 100000 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Set For Life,Earn 100M gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Not Enough,Earn 1e14 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Need More Gold,Earn 1e20 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Can't Stop Earning,Earn 1e26 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Ludicrous Gold,Earn 1e32 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Gilded Gold,Earn 1e38 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Impressive Stash,Earn 1e44 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Keep On Golding,Earn 1e50 gold,All Champion Damage Boost,5,"Clicks, Kills & Gold",835
Gold Obsessed,Earn 1e60 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Bank Breaker,Earn 1e70 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Safety Deposit Box,Earn 1e80 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Set For Multiple Lives,Earn 1e90 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Still Not Enough,Earn 1e100 gold,All Champion Damage Boost,5,"Clicks, Kills & Gold",835
Gold Hoarder,Earn 1e125 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
End Game Gold,Earn 1e150 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Understandably Golden,Earn 1e175 gold,All Champion Damage Boost,1,"Clicks, Kills & Gold",835
Golden Dragons,Earn 1e200 gold,All Champion Damage Boost,5,"Clicks, Kills & Gold",835
Adventurer,Complete area 10 in any adventure,All Champion Damage Boost,1,Adventures,814
Tutorialist,Complete area 25 in any adventure,All Champion Damage Boost,1,Adventures,815
Completionist,Complete area 50 in any adventure,All Champion Damage Boost,1,Adventures,816
Double Completionist,Complete area 100 in any adventure,All Champion Damage Boost,5,Adventures,817
Quadruple Completionist,Complete area 200 in any adventure,All Champion Damage Boost,1,Adventures,818
We Must Go Deeper,Complete area 300 in any adventure,All Champion Damage Boost,1,Adventures,819
Deja Vu,Complete area 400 in any adventure,All Champion Damage Boost,1,Adventures,820
