descriptions,id,key,owner,param_names,properties
{'desc': 'Reduces the damage of all Champions by $amount%'},3,global_dps_multiplier_reduce,global,,{'negative': True}
"{'short': 'All Champions damage +$(amount)%', 'desc': 'Increases the damage of all Champions by $amount%'}",1,global_dps_multiplier_mult,global,,[]
{'desc': 'Increases the damage of all Champions by $amount%'},2,global_dps_multiplier_add,global,,[]
{'desc': 'Increases the damage of $target by $amount%'},4,hero_dps_multiplier_mult,,,[]
{'desc': 'Increases the damage of $target by $amount%'},5,hero_dps_multiplier_add,,,[]
{'desc': 'Reduces the damage of $target by $amount%'},6,hero_dps_multiplier_reduce,,,{'negative': True}
"{'short': 'Gold Found +$(amount)%', 'desc': 'Increases all Gold found by $amount%'}",7,gold_multiplier_mult,global,,[]
{'desc': 'Increases all Gold found by $amount%'},8,gold_multiplier_add,global,,[]
{'desc': 'Reduces all Gold found by $amount%'},9,gold_multiplier_reduce,global,,{'negative': True}
{'desc': '$target $(pluralize_verb increase) your Click Damage by $amount% of their damage'},10,global_click_damage_hero_dps_percent,global,,{'amount_func': 'hero_dps_percent'}
{'desc': 'Increases your Critical Click Damage Multiplier by $amount'},11,critical_click_damage_multiplier,global,,[]
{'desc': 'Increases your Critical Click Chance by $amount%'},12,critical_click_chance,global,,[]
"{'short': 'Crit CLK +$(chance)%, Crit DMG +$(damage)', 'desc': 'Increases your Critical Click Chance by $chance% and Damage Multiplier by $damage'}",13,critical_click_chance_damage_mult,global,"chance,damage",[]
"{'desc': ""$target's Base Attack attacks $amount additional nearby $pluralize_targets$(at_percent_damage percent) damage""}",179,add_attack_nearby_targets,hero,"amount,percent",[]
{'desc': '$source immediately uses their Ultimate Attack (resets the cooldown)'},167,activate_ultimate,,,[]
{'desc': 'Increases the base Click Damage of $target by $amount'},16,hero_base_click_damage,,,[]
{'desc': 'Increases the Click Damage of $target by $amount%'},17,hero_click_damage_percent,,,[]
"{'desc': ""For every $step_levels levels over and including $gte_levels, $target's Click Damage is multiplied by $(mult)x.^This multiplier stacks.""}",18,hero_level_click_damage_mult,,"mult,int step_levels,int gte_levels","{'amount_func': 'step_levels', 'percent_bonus': False}"
{'desc': 'Increases your Click Damage by $amount%'},19,global_click_damage_multiplier_add,global,,[]
{'desc': 'All Champion damage x$(as_multiplier amount)'},198,global_dps_multiplier_times_desc,global,,[]
{'desc': 'Increases the DPS of $target by $amount% if their Base Attack cooldown is $seconds_comparison_description'},199,hero_dps_multiplier_if_attack_cooldown,,"amount,str comparison,check",{'amount_func': 'if_attack_cooldown'}
{'desc': 'Increases your base Click Damage by $amount'},21,base_click_damage,,,[]
"{'desc': ""Gain $amount% of an Enemy's gold per click""}",22,gold_clicks_percent,,,[]
"{'desc': ""Unlocks the '$(ability_name id)' ability^^$(ability_name id):^$(ability_effect id)""}",23,unlock_ability,,int id,[]
{'desc': 'Heals $target for $amount every second'},31,heal,,,[]
"{'desc': ""$target's Ultimate Attack attacks $amount additional nearby $pluralize_targets$(at_percent_damage percent)""}",180,add_ultimate_nearby_targets,hero,"amount,percent",[]
{'desc': 'Automatically Performs $amount Clicks per second'},25,clicks_per_seconds,,,[]
{'desc': 'Increases damage by $amount% for every use of the Storm Rider ability'},26,stack_storm_rider,,,[]
{'desc': 'Deal damage to all Enemies equal to $amount% of their max health'},27,damage_enemies,,,[]
{'desc': 'Freeze all enemies in place for $amount seconds'},28,freeze_enemies,,,[]
{'desc': 'Regen party members health by $amount% every 0.5 seconds'},29,regen_party_health,,,[]
"{'desc': ""Increase the effectiveness of the next activated ability by $amount%.^Doesn't Stack""}",30,next_ability_multiplier,,,[]
{'desc': 'Increases the health of $target by $amount%'},32,health_mult,,,[]
{'desc': 'Reduce the health of $target by $amount%'},33,health_reduce,,,{'negative': True}
{'desc': 'Reduces the health of all Champions by $amount%'},34,global_health_reduce,global,,{'negative': True}
{'desc': 'Increases the effect of healing on $target by $amount%'},35,healing_mult,,,[]
{'desc': '$target $(pluralize_verb take) $amount% less damage'},36,damage_reduction,,,{'negative': True}
{'desc': '$target $(pluralize_verb take) $amount% more damage'},37,damage_increase,,,[]
{'desc': 'Enemies attack $target less (attack priority -$amount)'},38,decrease_monster_attack_priority,,,{'negative': True}
