description,effect_keys,flavour_text,graphic_id,id,properties,requirements
Increase the damage of $target by $amount% for each adjacent Champion,"[{'effect_string': 'hero_dps_mult_per_target_crusader,100,adj', 'targets': ['self']}]",,892,1,[],[]
Increases the damage of Champions in the same column as $source by $(amount)%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['col']}]",,896,2,[],[]
Increases the damage of Champions next to $source by $(amount)%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['adj']}]",,889,3,[],[]
Heals Champions in the column in front of $source for $(amount) every second,"[{'effect_string': 'heal,10', 'targets': ['next_col']}]",,898,4,[],[]
Increases the damage of Champions in the column behind $source by $(amount)%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['prev_col']}]",,884,5,[],[]
Increases the damage of all Champions by $(amount)% for each enemy attacking $source.,"[{'effect_string': 'attacking_monsters_global_dps_mult,50', 'targets': ['self_slot']}]",,885,6,[],[]
Increases the damage of $source by $(amount)% if there is nobody directly in front of them.,"[{'effect_string': 'hero_dps_multiplier_mult,100'}]",,897,7,[],[{'requirement': 'no_front'}]
Increases the damage of $source by $(amount)% if there are no Dwarves adjacent to them.,"[{'effect_string': 'hero_dps_multiplier_mult,100'}]",,895,8,[],"[{'satisfies_tag_exp': 'dwarf', 'amount': 0, 'requirement': 'num_adjacent'}]"
Increases the damage of Champions in the column in front of $source by $(amount)%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['next_col']}]",,886,9,[],[]
Grants $(amount) temporary hit-points to damaged Champions within 2 slots of $source.,"[{'effect_string': 'grant_temporary_hp,250,3', 'targets': [{'distance': 2, 'type': 'distance'}]}]",,885,10,[],[]
Increases the damage of Human Champions by $(amount)%.,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['all'], 'filter_targets': [{'tags': 'human', 'type': 'by_tags'}]}]",,888,11,{'is_formation_ability': True},[]
Increases the damage of Elven and Dwarven Champions by $(amount)%.,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['all'], 'filter_targets': [{'tags': 'elf|dwarf', 'type': 'by_tags'}]}]",,887,12,{'is_formation_ability': True},[]
"Increases the damage of Tiefling, Firbolg, and Dragonborn Champions by $(amount)%.","[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['all'], 'filter_targets': [{'tags': 'tiefling|firbolg|dragonborn', 'type': 'by_tags'}]}]",,974,13,{'is_formation_ability': True},[]
Increases damage done to Humanoid enemies by $(amount)%.,"[{'effect_string': 'monster_with_tag_more_damage,100,humanoid', 'active_graphic_id': 186, 'active_graphic_sort': 'bottom'}]",,1,14,{'show_incoming': False},[]
Increases damage done to Bestial enemies by $(amount)%.,"[{'effect_string': 'monster_with_tag_more_damage,100,beast', 'active_graphic_id': 186, 'active_graphic_sort': 'bottom'}]",,1,15,{'show_incoming': False},[]
Increases damage done to Undead enemies by $(amount)%.,"[{'effect_string': 'monster_with_tag_more_damage,100,undead', 'active_graphic_id': 186, 'active_graphic_sort': 'bottom'}]",,1,16,{'show_incoming': False},[]
Increases damage done to Fey enemies by $(amount)%.,"[{'effect_string': 'monster_with_tag_more_damage,100,fey', 'active_graphic_id': 186, 'active_graphic_sort': 'bottom'}]",,1,17,{'show_incoming': False},[]
Increases damage done to Monstrosity enemies by $(amount)%.,"[{'effect_string': 'monster_with_tag_more_damage,100,monstrosity', 'active_graphic_id': 186, 'active_graphic_sort': 'bottom'}]",,1,18,{'show_incoming': False},[]
Increase the damage of Champions not adjacent to $source by $(amount)%,"[{'effect_string': 'hero_dps_multiplier_mult,100', 'targets': ['non_adj']}]",,890,23,[],[]
"Increase the damage of all Champions by $(amount)%, minus $reduce% for each Champion adjacent to $source.","[{'effect_string': 'global_dps_multiplier_mult_minus_targets,100,20,adj', 'targets': ['self']}]",,894,24,[],[]
Transform into a bear and gain $(amount) health points.,"[{'effect_string': 'health_add,100000000000'}, {'effect_string': 'change_base_attack,32', 'change_crusader_world_graphic_id': 906}]",,1,25,{'is_formation_ability': False},[]
Heals Champions adjacent to $source for $(amount) every second.,"[{'effect_string': 'heal,12500000000', 'targets': ['adj']}]",,1,26,[],[]
Reduce damage taken by $source by $(amount). Cannot reduce to below 5% of initial damage.,"[{'effect_string': 'reduce_damage_with_limit,12500000000,5', 'targets': ['self']}]",,1,27,[],[]
