export_params,fs,graphic,id,p,type,v
"{'available_sizes': ['22x22', '60x60', 'default', '64x64'], 'uses': ['icon'], 'export_type': 'character'}",28275,Monsters/Whackable_Beester,1,0,1,1
{'uses': ['crusader']},0,Characters/Hero_Bruenor,2,0,3,3
{'uses': ['crusader']},0,Characters/Hero_Celeste,3,0,3,3
{'uses': ['crusader']},0,Characters/Hero_VasenCale,4,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Jarlaxle,5,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Calliope,6,0,3,2
{'uses': ['crusader']},0,Characters/Hero_Asharra,7,0,3,5
{'uses': ['crusader']},0,Characters/Hero_Minsc,8,0,3,3
{'uses': ['crusader']},0,Characters/Hero_Delina,9,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Makos,10,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Tyril,11,0,3,1
{'uses': ['portrait']},0,Portraits/Portrait_Asharra,12,0,1,4
{'uses': ['portrait']},0,Portraits/Portrait_Bruenor,13,0,1,4
{'uses': ['portrait']},0,Portraits/Portrait_Calliope,14,0,1,4
{'uses': ['portrait']},0,Portraits/Portrait_Celeste,15,0,1,4
{'uses': ['portrait']},0,Portraits/Portrait_Delina,16,0,1,4
{'uses': ['portrait']},0,Portraits/Portrait_Jarlaxle,17,0,1,1
{'uses': ['portrait']},0,Portraits/Portrait_Makos,18,0,1,2
{'uses': ['portrait']},0,Portraits/Portrait_Minsc,19,0,1,3
{'uses': ['portrait']},0,Portraits/Portrait_Tyril,20,0,1,1
{'uses': ['portrait']},0,Portraits/Portrait_FemaleWoodElfRogue,21,0,1,2
"{'available_sizes': ['default'], 'uses': ['projectile']}",0,Projectiles/Arrow01,22,0,1,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BlackfordRoad_Far,23,0,1,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BlackfordRoad_Mid,24,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BlackfordRoad_Near,25,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_Far,26,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_01_Mid,27,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_01_Near,28,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/ForestRoadway_Far,29,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/ForestRoadway_Mid,30,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/ForestRoadway_Near,31,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_Far,32,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_Mid,33,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_Near,34,0,6,1
{'uses': ['visual_effect']},0,Characters/Hero_Brunor_Blur,35,0,1,2
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/Forest_Near,38,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_Far,39,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_01_Mid,40,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_01_Near,41,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_02_Mid,42,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWoodClearing_02_Near,43,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/PlainsRoadway_Far,44,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/PlainsRoadway_Mid,45,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/PlainsRoadway_01_Near,46,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/PlainsRoadway_02_Near,47,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/PlainsRoadway_03_Near,48,0,6,1
