description,effects,graphic_id,hero_id,id,name,rarity,slot_id
"It isn't much, but it'll get the job done.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",244,1,1,Chipped Axe,1,1
So sharp I can skin dinner with it.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",244,1,2,Sharpened Axe,2,1
I've lost count of the number of goblins slaughtered by its razor edge.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",245,1,3,Well Used Axe,3,1
"This axe has seen a thousand battles, and been victorious in every one.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",246,1,4,Many-notched Axe,4,1
"They're a bit heavy, but they keep my beard in check.","[{'effect_string': 'global_dps_multiplier_mult,10'}]",247,1,5,Iron Beard Clips,1,2
"Lighter than your average clips, they let my beard swing furiously when I attack.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",247,1,6,Steel Beard Clips,2,2
Crafted from a meteorite that fell near Icewind Dale.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",248,1,7,Dark Iron Beard Clips,3,2
Ancient family clips found in the depths of the Mithral Hall.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",249,1,8,Gold Beard Clips of the Clan,4,2
"It'll hold up your pants, if you don't move around too quickly.","[{'effect_string': 'buff_upgrade,25,2'}]",250,1,9,Frayed Belt,1,3
"It's seen better days, but it still does the trick.","[{'effect_string': 'buff_upgrade,87.5,2'}]",250,1,10,Faded Leather Belt,2,3
It's quite slimming!,"[{'effect_string': 'buff_upgrade,150,2'}]",251,1,11,Thick Sturdy Belt,3,3
An ancient family belt recovered from a Battlehammer heirloom cache.,"[{'effect_string': 'buff_upgrade,275,2'}]",252,1,12,Golden Hide Belt of the Ancestors,4,3
A simple ring with little magical power.,"[{'effect_string': 'buff_upgrade,25,4'}]",256,1,13,Plain Iron Ring,1,4
A shiny ring that seems to radiate mild heat on its own.,"[{'effect_string': 'buff_upgrade,87.5,4'}]",256,1,14,Shiny Steel Ring,2,4
A magical ring crafted from a fallen meteorite.,"[{'effect_string': 'buff_upgrade,150,4'}]",257,1,15,Dark Iron Ring,3,4
Specially crafted by the craftsmen in Mirabar as a peace offering to Clan Battlehammer.,"[{'effect_string': 'buff_upgrade,275,4'}]",258,1,16,Golden Sigil Ring of Dwarves,4,4
Looks like someone took a warhammer to this.,"[{'effect_string': 'buff_ultimate,25'}]",259,1,17,Dented Shield,1,5
"If you can get it up in time, it'll do the job.","[{'effect_string': 'buff_ultimate,87.5'}]",259,1,18,Heavy Shield,2,5
It's strong enough to stop a blow from a raging giant.,"[{'effect_string': 'buff_ultimate,150'}]",260,1,19,Strong Shield,3,5
A magical shield with secret and mysterious powers.,"[{'effect_string': 'buff_ultimate,275'}]",261,1,20,Shield of Foaming Ale,4,5
"To be fair, I think it's supposed to be broken.","[{'effect_string': 'reduce_ultimate_cooldown,2'}]",254,1,21,Broken Helm,1,6
Someone needs to get some spit and polish on this thing.,"[{'effect_string': 'reduce_ultimate_cooldown,3'}]",254,1,22,Scuffed Helm,2,6
"Stronger than steel, and far lighter.","[{'effect_string': 'reduce_ultimate_cooldown,6'}]",255,1,23,Mithral Helm,3,6
This helm has seen Bruenor through a hundred sticky situations.,"[{'effect_string': 'reduce_ultimate_cooldown,15'}]",253,1,24,Gilded Helm of Clan Battlehammer,4,6
