default_enabled,effect,hero_id,id,name,required_level,required_upgrade_id,specialization_description,specialization_graphic_id,specialization_name,tip_text,upgrade_type
1,"hero_dps_multiplier_mult,100",1,1,,5,0,,,,,
1,"effect_def,1",1,2,Inspired,10,0,,,,Bruenor does more damage if he's adjacent to more Champions. Place him next to as many Champions as you can.,
1,"set_ultimate_attack,2",1,3,,25,0,,,,,
1,"effect_def,2",1,4,Rally,50,0,,,,Bruenor increases the damage of Champions in the same column as him. Place him in the same column as your most damaging Champions.,
1,"hero_dps_multiplier_mult,100",1,5,,100,0,,,,,
1,"buff_upgrade,200,2",1,6,,150,0,"Bruenor focuses on the development of his own strength and damage, dealing devastating blows to enemies.",789.0,Champion,,
1,"buff_upgrade,100,4",1,7,,150,0,"Bruenor focuses on developing his group tactics, further increasing the damage of those in the same column as him.",788.0,Battle Master,,
1,"hero_dps_multiplier_mult,100",1,8,,200,0,,,,,
1,"hero_dps_multiplier_mult,200",1,9,,250,6,,,,,
1,"global_dps_multiplier_mult,100",1,10,,250,7,,,,,
1,"hero_dps_multiplier_mult,200",1,11,,300,6,,,,,
1,"buff_upgrade,300,4",1,12,,300,7,,,,,
1,"global_dps_multiplier_mult,200",1,13,,400,0,,,,,
1,"buff_upgrade,300,2",1,14,,500,6,,,,,
1,"buff_upgrade,200,4",1,15,,500,7,,,,,
1,"hero_dps_multiplier_mult,100",1,16,,600,0,,,,,
1,"buff_ultimate,100",1,17,,690,0,,,,,unlock_ultimate
1,"hero_dps_multiplier_mult,200",1,18,,800,6,,,,,
1,"global_dps_multiplier_mult,100",1,19,,800,7,,,,,
1,"hero_dps_multiplier_mult,100",1,20,,900,6,,,,,
1,"global_dps_multiplier_mult,100",2,23,,10,0,,,,,
1,"effect_def,3",2,24,Crusader's Mantle,20,0,,,,Celeste increases the damage of adjacent Champions. Place her next to your most damaging Champions.,
1,"global_dps_multiplier_mult,100",2,25,,35,0,,,,,
1,"effect_def,4",2,26,Mass Cure Wounds,40,0,,,,Celeste heals everyone in the column in front of her. Place her behind your front-most Champions to keep them alive longer.,increase_health
1,"set_ultimate_attack,4",2,27,,50,0,,,,,
1,"global_dps_multiplier_mult,100",2,28,,90,0,,,,,
1,"buff_upgrade,100,24",2,29,,100,0,Celeste focuses her concentration on increasing the damage of those around her.,793.0,War Domain,,
1,"buff_upgrade,100,26",2,30,,100,0,Celeste focuses her concentration on healing those in need of aid.,792.0,Life Domain,,increase_health
1,"buff_upgrade,400,26",2,31,,75,0,,,,,increase_health
1,"buff_upgrade,100,24",2,32,,150,29,,,,,
1,"buff_upgrade,400,26",2,33,,130,0,,,,,increase_health
1,"global_dps_multiplier_mult,100",2,34,,280,0,,,,,
1,"buff_upgrade,100,24",2,35,,220,29,,,,,
1,"buff_upgrade,600,26",2,36,,205,0,,,,,increase_health
1,"global_dps_multiplier_mult,100",3,37,,10,0,,,,,
1,"effect_def,5",3,38,Aura of Courage,20,0,,,,Nayeli increases the damage of Champions in the column behind hers. Place her in front of your most damaging Champions.,
1,"hero_dps_multiplier_mult,200",3,39,,30,0,,,,,
1,"effect_def,6",3,40,Aura of Protection,40,0,,,,Nayeli increases your formation's damage for each enemy attacking her. Place her at the front of your formation to take advantage of this.,
1,"set_ultimate_attack,6",3,41,,50,0,,,,,
1,"global_dps_multiplier_mult,200",3,42,,55,0,,,,,
1,"buff_upgrade,200,38",3,43,,100,0,Nayeli focuses on rallying her fellow Champions and further increasing the damage of anyone in the column behind her.,808.0,Oath of Vengeance,,
1,"health_add,300000",3,44,,100,0,"Nayeli focuses on tanking enemies and increasing her own survivability, keeping her foes from attacking her friends.",807.0,Oath of Devotion,,unlock_ability
1,"global_dps_multiplier_mult,100",3,45,,145,0,,,,,
1,"buff_upgrade,200,38",3,46,,150,43,,,,,
1,"health_add,80000000",3,47,,155,44,,,,,increase_health
1,"global_dps_multiplier_mult,100",3,48,,190,0,,,,,
1,"buff_upgrade,100,38",3,49,,215,43,,,,,
1,"health_add,850000000",3,50,,180,44,,,,,increase_health
1,"hero_dps_multiplier_mult,100",4,51,,10,0,,,,,
1,"effect_def,7",4,52,Room To Work,35,0,,,,Jarlaxle performs best when there is nobody directly in front of him. Leave the slots directly in front of him empty to increase his damage.,
1,"set_ultimate_attack,8",4,53,,50,0,,,,,
1,"hero_dps_multiplier_mult,100",4,54,,75,0,,,,,
1,"effect_def,29",4,55,Equal Opportunity,100,0,,,,Jarlaxle works best in diverse groups. Increase his damage by having at least three unique races adjacent to him.,
1,"hero_dps_multiplier_mult,100",4,56,,110,0,,,,,
1,"gold_multiplier_mult,10",4,57,,125,0,,,,,
1,"buff_upgrade,300,52",4,58,,150,0,Jarlaxle fights best with room to work. He further excels when the slots directly in front of him are empty.,798.0,Loner,,
1,"buff_upgrade,200,55",4,59,,150,0,Jarlaxle works best in diverse groups. He further excels when there are three or more unique races adjacent to him.,799.0,Socialite,,
1,"gold_multiplier_mult,10",4,60,,175,0,,,,,
1,"hero_dps_multiplier_mult,100",4,61,,200,0,,,,,
1,"buff_upgrade,200,52",4,62,,250,58,,,,,
1,"buff_upgrade,200,55",4,63,,250,59,,,,,
1,"gold_multiplier_mult,10",4,64,,275,0,,,,,
1,"hero_dps_multiplier_mult,300",4,65,,300,0,,,,,
1,"hero_dps_multiplier_mult,300",4,66,,350,0,,,,,
1,"buff_upgrade,200,52",4,67,,400,58,,,,,
1,"buff_upgrade,300,55",4,68,,400,59,,,,,
1,"gold_multiplier_mult,10",4,69,,425,0,,,,,
1,"global_dps_multiplier_mult,100",5,70,,12,0,,,,,
1,"effect_def,9",5,71,Bardic Inspiration,24,0,,,,Calliope inspires those in front of her to do more damage. Place her behind your most damaging Champions.,
1,"effect_def,10",5,72,Song of Protection,36,0,,,,Calliope protects those near her when they are damaged. Place her within two slots of your front-line to ensure her song reaches them.,increase_health
1,"set_ultimate_attack,10",5,73,,48,0,,,,,
1,"global_dps_multiplier_mult,100",5,74,,60,0,,,,,
1,"buff_upgrade,200,71",5,75,,80,0,Calliope focuses her efforts on increasing the damage of those in front of her.,791.0,College of Valor,,
1,"buff_upgrade,100,72",5,76,,80,0,Calliope focuses her efforts on increasing the effectiveness of her damage shields.,790.0,College of Lore,,increase_health
1,"global_dps_multiplier_mult,200",5,77,,100,0,,,,,
1,"buff_upgrade,400,72",5,78,,120,0,,,,,increase_health
1,"buff_upgrade,100,71",5,79,,140,75,,,,,
1,"buff_upgrade,400,72",5,80,,150,0,,,,,increase_health
